State,Action,Value
"(10, 3)","(10, 4)",-6.464284272031307
"(10, 3)","(10, 2)",-6.474071254624679
"(10, 4)","(10, 5)",-6.4922571275311745
"(10, 4)","(10, 3)",-6.47859450147577
"(10, 5)","(10, 6)",-6.428211320249897
"(10, 5)","(10, 4)",-6.51021692457175
"(10, 5)","(9, 5)",-6.398933703578109
"(10, 6)","(10, 7)",-6.438310722675427
"(10, 6)","(10, 5)",-6.442954592363383
"(10, 7)","(10, 6)",-6.449654989663807
"(10, 8)","(10, 9)",-1.8971748643758037
"(10, 8)","(9, 8)",-2.7748966533222723
"(10, 9)","(10, 10)",-0.9995432240925493
"(10, 9)","(10, 8)",-1.817719684303298
"(10, 10)","(10, 9)",0
"(10, 10)","(9, 10)",0
